"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"90624","Branch","T","Oval","",1,"300001174",1,1978-09-07,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-07-02 18:48:00,2019-07-03 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91034","Blue","R","Peek","",1,"300015110",1,1960-04-21,1,0,0,0,0,1,,1,1,0,0,0,0,,1,,,,,,,,,,,,,2019-12-30 19:49:00,2019-12-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91049","Platypus","Z","Nebulous","",1,"300015143",1,1959-11-20,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-01-09 19:25:00,2020-01-09 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91108","Banker","R","Peremptory","",1,"300015285",1,1967-02-22,1,0,0,0,0,1,,0,1,0,0,0,0,,1,,,,,,,,,,,,,2020-10-20 14:09:00,2020-10-20 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91157","Banana","F","Tricky","",1,"300015396",1,1966-12-14,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-09-22 15:30:00,2021-01-21 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91182","Lampshade","F","Calm","",1,"300015452",1,1974-06-02,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-08-26 19:20:00,2021-10-22 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91184","Mali","Z","Patent","",1,"300015458",1,1970-06-19,1,0,0,0,0,1,,99,1,0,0,0,0,,0,,,,,,,,,,,,,2020-07-31 15:47:00,2020-07-31 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91247","Celery","R","Metal","",1,"300015628",1,1972-06-14,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-11-16 15:36:00,2020-11-16 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91283","Jumpsuit","R","Free","",1,"300001649",1,1964-09-27,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2012-09-04 12:22:00,2021-09-22 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91351","Oak","T","Pick","",99,"300001874",1,1982-12-24,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2014-08-20 12:19:00,2014-08-20 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91392","Cocoa","Y","Silky","",1,"300002010",1,1958-03-01,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:28:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91465","Pear","","Prine","",1,"300021370",1,1962-10-21,1,0,0,0,0,0,99,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-12-23 15:21:00,2020-12-23 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91470","Celery","F","Woebegone","MSW, LISW",1,"300021430",1,1967-09-15,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-29 14:24:00,2021-01-29 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91478","Pixie","X","Pedant","",1,"300021511",1,1955-06-17,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-11-10 13:52:00,2020-11-10 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91676","Dance","T","Pulmonary","",1,"300002742",1,1960-08-13,1,0,0,1,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-04-03 16:23:00,2022-02-03 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"91986","Babble","Z","Statement","",1,"300003880",1,1957-10-03,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:37:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"92081","Gerbil","Z","Continuous","",1,"300040917",1,1965-11-26,1,0,0,0,0,1,,0,1,0,0,0,0,,99,,,,,,,,,,,,,2011-02-13 23:06:00,2022-01-19 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
