"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"193060","90624","1548",2020-08-17,"193060",1,28,4,99,99,2018-06-01,4,113,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-08-20 00:00:00,2020-08-20 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"192874","91034","1548",2020-07-21,"192874",1,35,10,1,99,2019-07-01,2,104,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-07-24 00:00:00,2020-07-24 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"192868","91049","1548",2020-07-24,"192868",1,16,2,99,99,2020-01-09,3,107,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-07-27 00:00:00,2020-07-27 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190394","91108","1548",2020-10-08,"190394",1,36,11,1,99,2020-05-01,3,105,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-10-20 00:00:00,2020-10-20 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190130","91157","1548",2020-09-21,"190130",1,4,11,1,99,2016-01-01,4,113,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-01-21 00:00:00,2021-01-21 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190191","91182","1548",2021-04-15,"190191",1,36,3,0,99,2019-04-15,,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-10-22 00:00:00,2021-10-22 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"193123","91184","1548",2020-07-30,"193123",1,35,2,0,99,2018-07-30,,101,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-07-31 00:00:00,2020-07-31 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190178","91247","1548",2020-09-28,"190178",1,4,2,1,99,2020-05-01,4,104,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-11-16 00:00:00,2020-11-16 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"193114","91283","1548",2021-09-07,"193114",1,31,3,99,99,2021-09-07,4,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-22 00:00:00,2021-09-22 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190983","91351","1548",2020-10-21,"190983",1,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-10-23 00:00:00,2020-10-23 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"193148","91392","1548",2020-09-10,"193148",1,16,3,99,99,2018-05-01,3,106,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190266","91465","1548",2020-12-21,"190266",1,16,4,99,99,2019-12-01,4,112,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-12-23 00:00:00,2020-12-23 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"189445","91470","1548",2021-01-28,"189445",1,35,5,0,99,2019-01-28,3,103,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-04-30 00:00:00,2021-04-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190396","91478","1548",2020-11-09,"190396",1,32,11,1,99,2020-11-09,3,101,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-11-10 00:00:00,2020-11-10 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"191482","91676","1548",2019-12-31,"191482",1,16,4,99,99,2019-02-17,4,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-02-03 00:00:00,2022-02-03 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"191728","91986","1548",2020-03-03,"191728",1,99,10,99,99,2016-03-03,4,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190174","92081","1548",2021-05-11,"190174",1,1,2,99,99,2021-04-30,,101,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-01-19 00:00:00,2022-01-19 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"192965","92153","1548",2021-07-19,"192965",1,36,99,0,99,2019-01-19,4,101,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190106","92351","1548",2021-06-23,"190106",1,32,5,0,99,2019-06-11,1,101,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190296","92682","1548",2021-07-06,"190296",1,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-07-12 00:00:00,2021-07-12 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"192763","92703","1548",2019-12-11,"192763",1,36,10,1,99,2013-06-06,4,112,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-12-12 00:00:00,2019-12-12 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190190","93144","1548",2021-07-01,"190190",1,16,10,99,99,2021-07-01,1,101,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-07-02 00:00:00,2021-07-02 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"192283","93410","1548",2021-07-21,"192283",1,16,10,99,99,2021-07-20,1,101,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-07-28 00:00:00,2021-07-28 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"190020","93991","1548",2020-11-05,"190020",1,32,11,1,99,2018-11-02,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-11-24 00:00:00,2020-11-24 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
