"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"90389","Parsnip","X","Phormality","MSW, LISW",1,"300010122",1,1964-03-04,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2016-05-17 20:54:00,2022-02-13 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"91900","Otter","R","Aboard","",1,"300035424",1,1990-12-16,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2018-05-29 18:43:00,2020-01-29 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"92101","Hepzibah","Y","Ceaseless","",99,"300041161",99,,8,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2012-08-29 17:34:00,2012-08-29 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"92103","Trust","Z","Patent","",99,"300041169",1,1947-06-07,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2013-06-17 21:44:00,2022-01-19 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"92116","Acorn","T","Free","",99,"300041221",8,,8,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2012-07-26 17:54:00,2012-07-26 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"92120","Rhododendron","X","Pervade","",99,"300041244",99,,99,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2013-06-17 22:08:00,2013-06-17 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"92140","Patience","R","Whistle","",99,"300041381",99,,99,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2013-06-17 18:19:00,2013-06-17 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"92154","Asparagus","","Library","",99,"123456789",1,1963-01-24,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2013-06-17 18:35:00,2022-05-04 00:00:00,"889",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"92167","Rutabaga","X","Clouds","III",99,"300041559",99,,99,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2013-06-17 21:57:00,2013-06-17 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
"92169","Peapod","F","Eggnog","",99,"300041569",1,1959-04-18,1,0,0,1,0,0,,8,1,0,0,0,0,,0,,,,,,,,,,,,,2012-07-26 18:10:00,2012-07-26 00:00:00,"0",,"70549C7796D1A7E60C3F2FD57E6A7FC9"
