"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"90387","Pear","","Paraphrase","",1,"300010079",1,1960-07-12,1,0,0,1,0,0,,0,0,1,0,0,0,,1,,,,,,,,,,,,,2019-04-11 19:22:00,2020-10-08 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"90411","Bumper","","Often","",1,"300010268",1,1968-10-21,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2019-01-24 18:40:00,2019-10-10 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"90423","Junior","F","Solid","",1,"300010356",1,1965-08-22,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2019-03-20 19:31:00,2021-11-02 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"90528","Bench","","Inconclusive","",1,"300011136",1,1967-12-08,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-01-14 15:05:00,2019-01-14 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"90671","Memory","","Phair","",1,"300012039",1,1962-02-26,1,0,0,0,0,1,,0,1,0,0,1,1,,0,,,,,,,,,,,,,2019-05-01 17:28:00,2022-05-03 00:00:00,"889",,"54860C6B105AD3013F84D8F699F2FF6C"
"90759","Scissors","Z","Picturesque","III",1,"300012805",1,1984-11-22,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-02-27 16:48:00,2020-12-16 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"90828","Electric","R","Nutritious","",1,"300013283",1,1972-07-22,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2018-12-14 20:53:00,2021-11-02 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91006","Train","Y","Puptent","",1,"300015023",1,1962-03-27,1,0,0,0,0,1,,0,0,1,0,0,0,,1,,,,,,,,,,,,,2019-12-11 18:58:00,2020-10-13 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91023","Tabasco","X","Chilly","",1,"300015078",1,1963-01-14,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2020-01-31 17:24:00,2020-10-14 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91037","Pluck","F","Grey","MSW, LISW",1,"300015116",1,1991-05-22,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2020-01-30 15:59:00,2021-11-22 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91051","Candlestick","R","Murky","",1,"300015152",1,1991-02-20,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2019-12-30 19:45:00,2021-01-27 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91063","Orange","F","Yam","",1,"300015186",1,1961-05-09,1,0,0,0,0,1,,0,0,1,0,0,0,,1,,,,,,,,,,,,,2019-10-01 16:27:00,2020-03-27 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91133","Beet","T","Shakespeare","",1,"300015342",1,1974-03-25,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2020-02-27 16:41:00,2021-02-21 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91224","Octavia","X","Gingerale","",1,"300015561",1,1964-12-19,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2020-02-27 16:27:00,2021-02-09 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91238","Peony","","Trucks","",1,"300015588",1,1969-12-02,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-06-09 17:33:00,2021-03-04 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91281","Visible","F","Flippant","",1,"300001641",1,1970-09-16,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2019-09-03 19:26:00,2020-02-24 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91458","Audience","Y","Suddenly","",1,"300021302",1,1972-10-21,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:38:00,2021-12-02 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91483","Primavera","T","Necessary","",1,"300021565",1,1964-12-25,1,0,0,0,0,1,,1,1,0,0,1,0,,0,,,,,,,,,,,,,2020-11-19 23:19:00,2021-12-06 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91491","Titania","Z","Swiftly","",1,"300021653",99,1985-05-30,1,0,0,0,0,1,,1,1,0,0,1,0,,0,,,,,,,,,,,,,2020-11-06 11:19:00,2021-01-19 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"91971","Quilt","R","Phrase","",1,"300003833",1,1965-11-05,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2017-01-26 15:47:00,2017-05-17 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"92073","Mesquite","","Peaceful","",1,"300004087",1,1958-02-26,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2020-06-09 17:46:00,2021-02-23 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"92093","Quiz","R","Puddle","",1,"300041094",1,1980-03-02,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-05-25 16:12:00,2021-12-03 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"93296","Moon","T","Hushed","",1,"300005136",1,1979-03-07,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2018-09-29 20:16:00,2021-02-23 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"93475","Maple","Y","Instant","",1,"300057282",1,1981-11-22,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-09-03 21:31:00,2021-09-04 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"93688","Snipehunt","Z","Heavy","",1,"300006505",1,1967-04-10,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2019-10-04 18:27:00,2021-11-02 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"93807","Fantastic","T","Silent","Jr",1,"300007348",1,1985-04-15,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2019-02-04 19:13:00,2019-02-04 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"93885","Canada","X","Peacock","",1,"300008043",1,1984-10-01,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-03-25 19:28:00,2019-10-10 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"93947","Dumbledore","R","Rampant","",1,"300008502",1,1956-05-23,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-03-06 16:26:00,2022-02-22 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"93973","Trust","Y","Phocus","",1,"300008709",1,1964-06-28,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-02-26 20:03:00,2021-11-02 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"94074","Orange","R","Phissure","",1,"300009384",1,1970-01-06,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-07-08 19:34:00,2021-11-16 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
