"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"193135","90387","1552",2019-04-11,"193135",1,16,4,99,99,2018-08-16,4,113,1,,2019-04-11,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-10-08 00:00:00,2020-10-08 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193025","90411","1552",2019-01-16,"193025",1,1,5,99,99,2016-01-01,4,113,1,,2019-01-16,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-21 00:00:00,2022-03-21 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193155","90423","1552",2019-03-20,"193155",1,1,5,99,99,2017-02-21,1,113,1,,2019-03-20,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-11-02 00:00:00,2021-11-02 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193141","90528","1552",2019-01-11,"193141",1,1,5,99,99,2017-01-23,4,113,1,,2019-01-11,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-10-16 00:00:00,2019-10-16 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193103","90671","1552",2019-04-27,"193103",1,16,5,99,99,2016-06-01,1,113,1,,2019-04-27,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-11-02 00:00:00,2022-05-03 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"192947","90759","1552",2020-02-13,"192947",1,1,5,99,99,2010-01-01,1,113,1,,2020-02-13,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-12-16 00:00:00,2020-12-16 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193091","90828","1552",2018-12-12,"193091",1,1,5,99,99,2017-12-15,4,113,1,,2018-12-12,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-11-02 00:00:00,2021-11-02 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"192258","91006","1552",2019-11-15,"192258",1,1,5,99,99,2017-09-02,4,113,1,,2019-11-26,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-10-13 00:00:00,2020-10-13 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193036","91023","1552",2020-01-15,"193036",1,16,3,99,99,2015-03-01,3,113,1,,2020-01-29,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-10-14 00:00:00,2020-10-14 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193116","91037","1552",2020-01-27,"193116",1,16,5,99,99,2018-01-01,1,113,1,,2020-01-27,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-11-22 00:00:00,2021-11-22 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"192914","91051","1552",2019-12-12,"192914",1,1,5,99,99,2013-03-04,4,113,1,,2019-12-12,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-01-27 00:00:00,2021-01-27 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193078","91063","1552",2019-10-01,"193078",1,1,5,99,99,2017-10-01,4,113,1,,2019-10-01,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-09-15 00:00:00,2020-09-15 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"192967","91133","1552",2020-02-19,"192967",1,1,5,99,99,2009-01-01,1,113,1,,2020-02-19,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-12-21 00:00:00,2021-12-21 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"189449","91224","1552",2020-02-26,"189449",1,1,5,99,99,2012-01-12,1,113,1,,2020-02-26,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-09 00:00:00,2021-02-09 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"192990","91238","1552",2020-06-03,"192990",1,1,5,99,99,2008-01-04,1,113,1,,2020-06-03,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-03-04 00:00:00,2021-03-04 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"192925","91281","1552",2019-08-21,"192925",1,16,4,99,99,2018-11-01,4,113,1,,2019-08-21,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-02-24 00:00:00,2020-02-24 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"192961","91458","1552",2021-04-15,"192961",1,16,5,99,99,2015-12-04,4,113,1,,2021-04-15,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00,2022-03-03 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193047","91483","1552",2020-11-19,"193047",1,1,5,99,99,2019-10-01,1,113,1,,2020-11-19,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-12-06 00:00:00,2021-12-06 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"192926","91491","1552",2020-11-05,"192926",1,16,5,99,99,2017-01-01,4,113,1,,2020-11-05,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-10-26 00:00:00,2021-10-26 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
"193170","91971","1552",2019-02-22,"193170",1,16,4,99,99,2016-02-12,4,113,1,,2019-02-22,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-10-16 00:00:00,2019-10-16 00:00:00,"0",,"54860C6B105AD3013F84D8F699F2FF6C"
