"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"191715","91202","1554",2020-03-18,"191715",1,1,5,99,99,2018-06-30,2,113,1,,2020-03-18,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-01-25 00:00:00,2022-01-25 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190035","91266","1554",2020-11-25,"190035",1,16,4,99,99,2020-09-01,2,103,0,,2020-12-01,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-11-30 00:00:00,2022-04-13 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190214","91402","1554",2020-11-16,"190214",1,16,5,99,99,2019-06-01,3,113,1,,2020-11-16,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-01-25 00:00:00,2022-01-25 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"191603","92063","1554",2020-10-15,"191603",1,16,2,99,99,2018-07-05,1,113,1,,2020-10-15,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-01-25 00:00:00,2022-01-25 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"193055","92119","1554",2021-04-01,"193055",1,1,4,99,99,2020-12-10,1,105,0,,2021-04-01,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-04-01 00:00:00,2021-04-01 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190275","92125","1554",2020-12-09,"190275",1,1,3,99,99,2020-10-19,1,102,0,,2020-12-09,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-01-05 00:00:00,2021-01-05 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190163","92131","1554",2020-10-01,"190163",1,16,3,99,99,2020-08-20,2,106,0,,2020-10-01,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-01-25 00:00:00,2022-01-25 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190104","92143","1554",2020-12-04,"190104",1,16,4,99,99,2020-07-20,1,105,1,,2020-12-15,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-12-04 00:00:00,2020-12-04 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190549","92165","1554",2021-01-01,"190549",1,16,3,99,99,2020-11-15,1,102,1,,2021-01-01,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-01-12 00:00:00,2021-01-12 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"191141","92233","1554",2020-12-22,"191141",1,1,5,99,99,2019-12-27,1,113,1,,2020-12-22,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-01-05 00:00:00,2021-01-05 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"192995","92278","1554",2021-04-22,"192995",1,1,4,99,99,2020-11-20,1,105,1,,2021-04-22,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-04-22 00:00:00,2022-05-03 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"193152","92282","1554",2021-04-22,"193152",1,1,3,99,99,2021-01-27,1,103,1,,2019-06-01,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-04-26 00:00:00,2022-04-13 00:00:00,"891",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190118","92311","1554",2021-01-02,"190118",1,1,3,99,99,2020-11-17,1,102,1,,2021-01-04,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-03-10 00:00:00,2021-03-10 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190417","92320","1554",2020-12-29,"190417",1,1,4,99,99,2020-06-22,1,106,1,,2021-01-01,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-12-29 00:00:00,2020-12-29 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"190110","92322","1554",2020-11-19,"190110",1,16,5,99,99,2019-01-01,2,113,1,,2020-12-01,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-31 00:00:00,2021-08-31 00:00:00,"0",,"150C1BB9C86E92F8DB0EC80CA143BB64"
"192995_28129","94208","1554",2021-05-24,"192995",2,15,8,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2022-04-13 00:00:00,2022-04-13 00:00:00,"891",,"150C1BB9C86E92F8DB0EC80CA143BB64"
