"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"90568","Centurion","T","Pursuant","",1,"300011394",1,2000-02-02,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-06-20 14:49:00,2019-06-20 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"90715","Plum","Y","Phigure","",1,"300012419",1,1996-05-10,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2019-04-15 12:46:00,2020-11-02 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91013","Dazzle","X","Psalm","",1,"300015043",1,1997-07-11,1,0,0,1,0,0,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:48:00,2021-09-30 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91054","Friction","Y","Pageant","",1,"300015163",1,2001-01-31,1,0,1,0,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-11-11 13:12:00,2019-11-11 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91075","Kneecap","","Railway","Jr",1,"300015224",1,1996-11-20,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-09-24 17:41:00,2020-09-24 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91093","Oregano","X","Peculiarity","",1,"300015253",1,1996-09-19,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2020-09-08 16:16:00,2021-04-02 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91112","Peru","R","Daughter","MSW, LISW",1,"300015292",1,2001-10-25,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-09-28 17:11:00,2020-11-02 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91116","Rubberband","F","Permutation","",1,"300015305",1,2000-04-18,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2020-09-24 17:32:00,2021-04-02 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91145","Atom","Y","Habitual","",1,"300015373",1,1998-01-17,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-02-11 21:44:00,2021-12-01 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91162","Atlanta","T","Mechanic","",1,"300015405",1,1996-02-12,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2020-09-29 13:16:00,2021-12-27 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91228","Birch","Z","Waves","",1,"300015570",1,1997-11-10,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2012-06-19 16:08:00,2015-03-02 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91266","Summer","T","Package","",1,"300015846",1,1994-03-23,1,0,0,0,0,1,,99,0,1,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2020-11-11 00:44:00,2022-04-13 00:00:00,"891",,"94467172001A453A6D3D09F2253DB490"
"91324","Arugula","R","Icicle","Jr",1,"300017644",1,1999-04-02,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-08 14:51:00,2021-09-14 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91471","Okra","Z","Parachute","",1,"300021443",1,2002-05-25,1,0,0,0,0,1,,0,0,0,1,0,0,,0,,,,,,,,,,,,,2020-11-05 20:13:00,2020-11-05 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91487","Cincinnati","X","Plant","",1,"300021602",1,1998-03-24,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:48:00,2021-09-30 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"91527","Cilantro","R","Gabby","",1,"300022005",1,2001-08-08,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:46:00,2021-09-30 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"92135","Parleyvoo","Z","Theramin","",1,"300041337",1,1999-01-14,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-04-26 20:35:00,2021-04-26 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"92170","Albacore","R","Thumbs","",1,"300041570",1,2001-10-15,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:30:00,2022-05-05 00:00:00,"889",,"94467172001A453A6D3D09F2253DB490"
"92273","Police","X","Performance","",1,"300042049",1,1997-10-10,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-04-12 19:57:00,2021-04-12 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"92276","Sweetgum","F","Periphery","",1,"300042059",1,1997-08-18,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-05-25 16:12:00,2021-12-28 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"92339","Mantis","X","Various","",1,"300042385",1,1998-11-23,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-04-23 14:28:00,2021-04-23 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"92563","Hepzibah","R","Providence","Jr",1,"300044440",1,2014-12-12,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-06-30 20:34:00,2021-06-30 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"92885","Ocelot","X","Pancake","III",1,"300047257",1,1996-07-27,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:33:00,2021-09-30 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"92972","Scarlett","R","Glorious","",1,"300004799",1,2000-10-10,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2016-01-15 20:39:00,2021-01-29 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"93476","Penguin","","Dreamy","",1,"300057294",1,1998-05-31,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:48:00,2021-10-29 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"93487","Slim","Y","Partial","",1,"300057359",1,1998-02-24,1,0,0,1,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:37:00,2021-12-29 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"93601","Othello","Y","Philosophy","",1,"300062609",1,1998-12-15,1,0,0,1,0,0,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-12-29 14:57:56,2021-12-29 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"93786","Switch","F","Scientific","",1,"300007199",1,1997-10-10,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2021-01-25 19:42:00,2021-04-02 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"93921","Bubble","","Eventual","Jr",1,"300008294",1,2014-05-29,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2019-04-18 20:39:00,2019-05-23 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"93956","Rusty","F","Notebook","",1,"300008578",1,2002-07-04,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2014-10-28 19:06:00,2021-12-28 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
"94125","Skillful","T","Harmonious","",1,"300009749",1,1997-08-26,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2019-08-12 19:21:00,2019-08-12 00:00:00,"0",,"94467172001A453A6D3D09F2253DB490"
