"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"189444_27491","90443","1553",2021-01-19,"189444",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-01-19 00:00:00,2021-01-19 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"190047","90473","1553",2021-02-12,"190047",1,16,10,99,99,2021-02-11,2,101,0,,2021-03-05,,,,99,1,"52 Maple Court","Springfield","MA","01139",1,99,,,,,,99,"",99,,,99,,,,,,,,,"518",,,,,,,,,,,,,,,,,,,,,2022-03-02 00:00:00,2022-03-02 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"189444_27489","90662","1553",2021-01-19,"189444",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-01-19 00:00:00,2021-01-19 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"190498","90911","1553",2020-12-01,"190498",1,2,5,0,99,,,,0,,2021-01-07,,,,99,1,"59 South St","Shrewsbury","MA","01545",1,99,,,,,,99,"",99,,,99,,,,,,,,,"518",,,,,,,,,,,,,,,,,,,,,2020-12-17 00:00:00,2020-12-17 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"190291","90940","1553",2021-01-26,"190291",1,18,4,99,99,2021-01-01,1,101,1,,2021-11-02,,,,99,1,"6 Elm St","Haverhill","MA","01830",1,99,,,,,,99,"",99,,,99,,,,,,,,,"518",,,,,,,,,,,,,,,,,,,,,2021-11-17 00:00:00,2021-11-17 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"190672","91003","1553",2020-01-22,"190672",1,2,5,0,99,,,,0,,2021-08-13,,,,99,1,"2 North St","Somerville","MA","02144",1,99,,,,,,99,"",99,,,99,,,,,,,,,"518",,,,,,,,,,,,,,,,,,,,,2022-02-01 00:00:00,2022-02-01 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"192877","91067","1553",2020-07-29,"192877",1,1,4,99,99,2020-04-01,1,103,0,,2020-10-07,,,,99,1,"10 Bates St","Devens","MA","01434",1,99,,,,,,99,"",99,,,99,,,,,,,,,"518",,,,,,,,,,,,,,,,,,,,,2020-12-17 00:00:00,2020-12-17 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"192280","91068","1553",2020-10-14,"192280",1,1,5,99,99,2019-01-01,1,113,0,,2020-11-01,,,,99,2,"15 Veterans Way","Lowell","MA","01852",1,99,,,,,,99,"",99,,,99,,,,,,,,,"518",,,,,,,,,,,,,,,,,,,,,2021-01-06 00:00:00,2021-01-06 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"190107","91070","1553",2020-09-17,"190107",1,16,2,99,99,2020-09-01,1,101,0,,2021-05-18,,,,99,2,"21 Carey Ave","Burlington","MA","01803",1,99,,,,,,99,"",99,,,99,,,,,,,,,"518",,,,,,,,,,,,,,,,,,,,,2021-07-13 00:00:00,2021-07-13 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"191105","91080","1553",2020-06-16,"191105",1,16,4,99,99,2020-03-15,1,103,0,,2020-08-31,,,,99,2,"226 Essex St","Marlborough","MA","01752",1,99,,,,,,99,"",99,,,99,,,,,,,,,"518",,,,,,,,,,,,,,,,,,,,,2021-06-25 00:00:00,2021-06-25 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
