"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"90788","Licorice","X","Toothsome","",1,"300013013",1,2000-03-30,1,0,0,1,0,0,,0,0,1,0,0,0,,1,,,,,,,,,,,,,2021-09-14 16:46:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91019","Mesquite","T","Bashful","",1,"300015062",1,2001-04-27,1,0,0,1,0,0,,1,0,1,0,0,0,,1,2018,2020,0,0,0,0,0,0,0,0,1,1,2019-10-17 14:52:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91033","Sensitive","X","Future","",1,"300015106",1,1950-12-14,1,0,0,1,0,0,,1,1,0,0,0,0,,1,1960,1965,0,0,0,1,0,0,0,0,1,1,2019-10-17 14:43:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91073","Paprika","Z","Shade","",1,"300015220",1,1945-10-27,1,0,0,0,0,1,,1,0,1,0,0,0,,1,1973,1985,0,1,0,0,0,0,0,0,3,1,2020-09-01 16:59:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91140","Pilot","X","Pumice","MSW, LISW",1,"300015358",1,1970-07-17,1,0,0,1,0,0,,0,1,0,0,0,0,,1,1995,2002,0,0,0,1,0,0,0,0,2,1,2020-09-09 15:52:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91149","Bluebeard","R","Pace","",1,"300015383",1,2000-08-20,1,0,0,0,0,1,,0,1,0,0,0,0,,1,2019,2021,0,0,0,0,0,0,0,1,2,2,2020-04-09 18:18:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91216","Lime","T","Ceaseless","",1,"300015531",1,1998-06-06,1,0,0,1,0,0,,0,1,0,0,0,0,,1,2018,2017,0,0,0,1,0,0,0,0,3,6,2020-03-16 16:09:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91432","Numerous","T","Pumice","",1,"300021068",1,2001-02-08,1,0,0,1,0,0,,0,0,1,0,0,0,,1,2018,2021,0,0,0,0,1,0,0,0,2,1,2021-01-06 15:22:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91448","Candlestick","Y","Perfunctory","",1,"300021246",1,2000-08-06,1,0,0,1,0,0,,0,1,0,0,0,0,,1,2018,2022,0,0,0,0,1,0,0,0,4,5,2021-01-28 14:45:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91456","Blossom","X","Valiant","",1,"300021294",1,2000-07-08,1,0,0,0,0,1,,0,1,0,0,0,0,,1,2018,2020,0,0,0,0,0,0,1,0,4,1,2021-01-14 15:10:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"91500","Moonbeam","Z","Nicely","",1,"300021751",1,1984-04-30,1,0,0,1,0,0,,1,1,0,0,0,0,,1,1990,1995,0,0,0,1,0,0,0,0,1,1,2020-11-03 17:28:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"92053","Juice","R","Paroxysm","",1,"300040695",1,1999-07-02,1,0,0,0,0,1,,1,1,0,0,0,0,,1,2017,2021,0,0,1,0,0,0,0,0,2,1,2021-03-04 00:15:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"93451","Oak","Y","Cobweb","",1,"300056939",1,1998-07-06,1,0,0,1,0,0,,0,0,1,0,0,0,,1,2017,2019,0,0,1,0,0,0,0,0,3,1,2021-09-01 14:47:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"93453","Elbow","R","Education","",1,"300056949",1,2002-09-24,1,0,0,1,0,0,,0,1,0,0,0,0,,1,2020,2020,0,0,0,0,0,1,0,0,1,8,2021-09-01 14:55:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
"93843","Linus","R","Coaxing","",1,"300007620",1,2000-04-05,1,0,0,1,0,0,,0,1,0,0,0,0,,1,2018,2020,0,0,0,0,0,0,0,0,3,1,2019-02-18 16:55:00,2022-05-05 00:00:00,"889",,"26EAD10C47A7B6F9D671B36EAD8D3678"
