"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"91239","Mantis","","Future","",1,"300015595",1,1961-01-24,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:33:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"91459","Carport","Y","Elegant","",1,"300021330",1,1991-02-04,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-03-08 21:45:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"91501","Amethyst","Z","Pulverize","Jr",1,"300021758",1,1962-12-28,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:36:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"92039","Odette","X","Purgatory","",1,"300040418",9,1991-01-01,1,0,0,0,0,0,9,9,0,1,0,0,0,,0,,,,,,,,,,,,,2021-02-09 14:30:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"92055","Star","Z","Boiling","",1,"300040707",1,1978-09-01,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-03-09 06:58:00,2022-03-01 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"92191","Prosper","X","Enduring","",1,"300041671",1,1987-10-12,1,1,0,0,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-09-14 17:43:00,2022-02-21 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"93423","Warpspeed","Z","Exotic","",1,"300056772",1,1954-06-16,1,0,0,0,0,1,,0,0,1,0,0,0,,1,,,,,,,,,,,,,2021-09-30 18:35:00,2021-09-30 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"93428","Tangelo","Y","Hushed","MSW, LISW",1,"300056806",9,1980-01-01,9,0,0,0,0,0,9,9,0,1,0,0,0,,9,,,,,,,,,,,,,2021-08-18 15:22:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"93431","Sleep","R","Powder","",1,"300056809",9,1958-01-01,1,0,0,0,0,0,9,9,0,1,0,0,0,,9,,,,,,,,,,,,,2021-08-18 14:50:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"93434","Lime","T","Railway","",1,"300056831",2,1971-07-25,1,0,0,0,0,0,9,9,0,1,0,0,0,,0,,,,,,,,,,,,,2021-08-20 14:20:00,2022-03-08 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"93435","Linus","X","Plant","",1,"300056833",9,1961-01-01,1,0,0,0,0,0,9,9,1,0,0,0,0,,9,,,,,,,,,,,,,2021-08-20 15:12:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
"93437","Peapod","F","Opposite","",1,"300056836",9,1978-01-01,1,0,0,0,0,0,9,9,0,1,0,0,0,,9,,,,,,,,,,,,,2021-08-20 14:37:00,2022-02-18 00:00:00,"0",,"2757641B27513684CC6CBF987C9EA52F"
