"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"90449","Develop","","Instrument","Jr",1,"300010604",1,1961-03-06,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-02-25 19:54:00,2019-02-25 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"90488","Fizzy","R","Bustling","",1,"300001082",1,1987-06-11,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2018-02-21 21:15:00,2020-01-21 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"90529","Blossom","Y","Instinctive","",1,"300011138",1,1993-01-22,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2018-08-17 14:08:00,2018-08-17 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"90574","Dolphin","F","Peremptory","III",1,"300011441",1,1966-01-04,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2018-08-17 14:52:00,2021-11-19 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"90601","Flounder","F","Mystery","",1,"300011651",1,1971-11-15,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,0,,,,,,,2017-07-06 17:37:00,2017-11-16 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"90730","Primavera","Y","Phlirtatious","",1,"300012545",1,1953-09-27,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,0,,,,,,,2017-07-06 17:37:00,2018-10-22 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"90882","Azalea","Y","Solid","MSW, LISW",1,"300013686",1,1962-10-16,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2017-07-06 17:37:00,2017-07-06 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"90910","Seashore","F","Palliative","",1,"300013891",1,1976-11-05,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2019-09-24 19:01:00,2019-09-24 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"90973","Palmtree","Y","Fervently","",1,"300014589",1,1987-05-24,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2019-12-30 19:35:00,2019-12-30 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91015","Coriander","T","Wandering","Jr",1,"300015048",1,1963-02-04,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-01-15 20:26:00,2020-01-15 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91027","Rubberband","X","Excellent","Jr",1,"300015092",1,1961-11-16,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2019-01-16 19:45:00,2019-04-08 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91030","Frank","F","Philigree","",1,"300015095",1,1960-07-31,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2019-11-14 17:11:00,2020-10-07 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91044","Treasure","Y","Phortify","",1,"300015135",1,1958-09-06,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2019-11-21 16:57:00,2019-11-21 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91056","Trombone","Z","Palette","",1,"300015171",1,1955-01-18,1,0,0,1,1,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2020-01-09 05:00:00,2021-11-16 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91125","Avocada","Z","Pervade","",1,"300015325",1,1961-05-11,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2020-02-26 16:26:00,2020-02-26 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91141","Copper","F","Photocopy","",1,"300015361",1,1956-12-14,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2020-10-08 18:36:00,2020-10-08 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91272","Aloha","","Instrument","",1,"300015903",1,1983-05-19,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,2021-06-29 18:17:00,2021-09-30 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91469","Cable","X","Package","",1,"300002142",1,1971-09-15,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-01-15 20:10:00,2020-01-15 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"91880","Curry","Z","Phalange","",1,"300003446",1,1967-04-26,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,0,,,,,,,2017-07-20 19:02:00,2018-04-09 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
