"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"90404","Rutabaga","Z","Pharmacy","",1,"300010215",2,1966-12-18,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2018-03-25 14:59:00,2018-03-27 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"90418","Jumpsuit","F","Owlish","",1,"300010314",1,1961-04-09,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2017-11-03 00:45:00,2017-11-09 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"90620","Pansy","X","Beneficial","",1,"300011732",1,1969-04-14,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2012-08-13 16:51:00,2015-07-27 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"90875","Impala","","Prowess","",1,"300013649",1,1959-11-09,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2013-12-16 17:53:00,2015-12-30 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"90903","Periwinkle","F","Pyrotechnics","",1,"300001382",1,1959-10-24,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2017-11-07 02:11:00,2017-11-28 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"91055","Mali","R","Tart","",1,"300015166",8,1972-12-30,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2019-11-18 20:23:00,2019-11-18 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"91060","Bloom","R","Today","Jr",1,"300015180",1,1957-11-12,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-12-18 21:46:00,2021-02-25 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"91530","Pilot","F","Video","",1,"300022032",1,2000-03-02,1,0,0,0,0,1,,0,0,0,1,0,0,,0,,,,,,,,,,,,,2021-03-29 18:32:00,2021-04-09 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"91706","Allspice","Z","Participate","",1,"300002844",1,1977-08-19,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-04-09 17:12:00,2019-04-18 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"92067","Summer","Y","Physician","",1,"300040839",1,1968-01-02,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-04-11 15:24:00,2021-08-26 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"93582","Dance","Y","Nervous","",1,"300006224",1,1986-08-26,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-08-20 13:23:00,2019-08-20 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"94023","Indigo","Y","Phissure","",1,"300000897",1,1977-09-16,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2013-01-28 22:50:00,2019-03-28 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"94124","Linen","Z","Chemical","Jr",1,"300009746",1,1965-08-28,1,0,0,0,0,0,8,0,1,0,0,0,0,,0,,,,,,,,,,,,,2015-01-29 14:55:00,2015-12-30 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
