"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"190112","90404","1561",2018-09-24,"190112",1,1,4,99,99,2018-03-24,1,106,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2018-09-24 00:00:00,2018-09-24 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"193125","90418","1561",2020-03-08,"193125",1,99,99,0,99,,,,99,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-08-05 00:00:00,2020-08-05 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"192966","90620","1561",2020-07-22,"192966",1,1,5,99,99,2018-06-18,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-08-05 00:00:00,2020-08-05 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"193040","90875","1561",2016-05-23,"193040",1,1,5,99,99,2013-10-25,2,113,0,,,,,,99,,"","","","02143",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2017-05-04 00:00:00,2017-05-04 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"190314","90903","1561",2020-03-13,"190314",1,1,5,99,99,2019-12-08,1,113,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-08-05 00:00:00,2020-08-05 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"193043","91055","1561",2020-02-07,"193043",1,1,4,99,99,2019-11-11,1,103,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-07-14 00:00:00,2020-07-14 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"193053","91060","1561",2021-04-05,"193053",1,1,5,99,99,2019-12-17,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-04-07 00:00:00,2021-04-07 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"191820","91530","1561",2021-02-01,"191820",1,1,3,99,99,2020-11-15,1,102,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-04-09 00:00:00,2021-04-09 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"192086","91706","1561",2019-06-05,"192086",1,1,3,99,99,2019-04-19,1,102,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-06-05 00:00:00,2019-06-05 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"193093","92067","1561",2021-07-29,"193093",1,1,3,99,99,2021-04-08,1,103,1,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-26 00:00:00,2021-08-26 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"192888","93582","1561",2020-02-07,"192888",1,1,4,99,99,2019-08-19,1,105,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-10-01 00:00:00,2020-10-01 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"193019","94023","1561",2017-05-26,"193019",1,1,5,99,99,2014-04-30,2,113,0,,,,,,99,,"","","","02143",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-03-28 00:00:00,2019-03-28 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
"193081","94124","1561",2017-12-11,"193081",1,1,5,99,99,2013-12-17,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2017-12-12 00:00:00,2017-12-12 00:00:00,"0",,"BDB0E4C7C5B7F99076B8AA1D421AE7E2"
