"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"90655","Ruby","","Chess","MSW, LISW",1,"300011948",1,1977-08-09,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:55:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91298","Grape","Y","Inconclusive","",1,"300016927",1,1993-04-19,1,0,0,1,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-03-22 18:18:00,2021-03-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91349","Cashew","","Patriarch","",1,"300018556",1,2013-04-03,1,0,0,1,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-03-22 18:18:00,2021-03-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91356","London","Z","Downtown","",1,"300019000",1,1994-12-18,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:46:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91358","Roadwork","R","Lively","",1,"300019107",1,2013-01-20,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:46:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91384","Rubberband","Z","Scarce","",1,"300019861",1,2015-09-06,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:46:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91387","Chipotle","X","Lively","MSW, LISW",1,"300019978",1,1995-11-08,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:52:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91407","Cactus","X","Jubilant","",1,"300020503",1,2018-10-14,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:52:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91419","Toothbrush","F","Milky","",1,"300020807",1,1996-12-13,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2019-02-27 16:20:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91434","Jade","R","Decision","",1,"300021081",1,1994-06-18,1,0,0,0,0,1,,1,0,1,0,0,0,,1,,,,,,,,,,,,,2021-01-28 15:32:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91444","Satisfaction","R","Solemnly","",1,"300021193",1,2016-10-11,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:40:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91454","Page","","Piggyback","",1,"300021286",1,2018-07-25,1,0,0,1,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:55:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91475","Cocoa","T","Particle","",1,"300021481",1,1959-11-02,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:40:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91486","Pencil","Y","Shade","",1,"300021596",1,1995-12-29,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:32:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91488","Rhododendron","","Phosphorescent","",1,"300021615",1,2017-10-06,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:32:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91504","Avocada","","Pugnacious","",1,"300021776",1,2020-07-05,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 16:17:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"91512","Bamboo","R","Patriarch","",1,"300021886",1,1976-01-31,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-01-28 15:40:00,2021-01-28 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"92050","Purity","Y","Philter","",1,"300040573",1,1993-07-25,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-22 15:05:00,2021-09-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"92051","Prosper","Z","Dainty","",1,"300040644",1,2017-04-02,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-22 15:05:00,2021-09-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
