"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOfPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"193011","90655","1560",2021-01-25,"193011",1,1,5,99,99,2019-11-05,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"193131","91298","1560",2021-03-22,"193131",1,1,4,99,99,2020-08-12,2,108,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-07-07 00:00:00,2021-07-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"193131_28090","91349","1560",2021-03-22,"193131",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-03-22 00:00:00,2021-03-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"190014","91356","1560",2020-06-26,"190014",1,1,5,99,99,2019-04-01,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-03-29 00:00:00,2021-03-29 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"190014_27623","91358","1560",2020-06-26,"190014",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"190014_27624","91384","1560",2020-06-26,"190014",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"190018","91387","1560",2020-06-09,"190018",1,1,5,99,99,2019-02-01,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"190018_27625","91407","1560",2020-06-09,"190018",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"191155","91419","1560",2020-06-09,"191155",1,1,5,99,99,2019-02-01,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"192461_28022","91434","1560",2020-04-16,"192461",3,1,4,99,99,2020-01-17,1,103,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-07 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"192366_28013","91444","1560",2019-12-11,"192366",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-07 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"193011_28128","91454","1560",2021-01-25,"193011",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"192366","91475","1560",2019-12-11,"192366",1,1,5,99,99,2018-06-20,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"192461","91486","1560",2020-04-16,"192461",1,1,4,99,99,2020-01-17,1,103,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"192461_28023","91488","1560",2020-04-16,"192461",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-07 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"192461_28024","91504","1560",2020-04-16,"192461",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-07 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"192366_28012","91512","1560",2019-12-11,"192366",3,1,5,99,99,2018-06-20,1,113,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-02-07 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"193191","92050","1560",2021-09-21,"193191",1,1,4,99,99,2021-02-18,1,106,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-22 00:00:00,2021-09-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"193191_28117","92051","1560",2021-09-21,"193191",2,99,99,0,99,,,,0,,,,,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-09-22 00:00:00,2021-09-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
