"EnrollmentCoCID","EnrollmentID","HouseholdID","ProjectID","PersonalID","InformationDate","CoCCode","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4902297","190313","190313","1563","92061",2020-06-24,"XX-500",1,2021-07-01 00:00:00,2021-07-01 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902314","193039","193039","1563","92075",2020-04-22,"XX-500",1,2020-04-23 00:00:00,2020-04-23 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902352","193027","193027","1563","92110",2020-01-21,"XX-500",1,2020-03-23 00:00:00,2020-03-23 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902358","192923","192923","1563","92115",2020-06-03,"XX-500",1,2020-06-03 00:00:00,2020-06-03 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902403","190176","190176","1563","92152",2020-02-24,"XX-500",1,2020-03-31 00:00:00,2020-03-31 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902495","193130","193130","1563","92228",2020-04-23,"XX-500",1,2020-05-01 00:00:00,2020-05-01 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902518","190265","190265","1563","92248",2020-07-08,"XX-500",1,2020-07-09 00:00:00,2020-07-09 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902559","192975","192975","1563","92270",2019-08-19,"XX-500",1,2019-08-19 00:00:00,2019-08-19 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902617","193030","193030","1563","92323",2019-08-02,"XX-500",1,2019-09-03 00:00:00,2019-09-03 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902633","193138","193138","1563","92336",2020-05-11,"XX-500",1,2020-05-13 00:00:00,2020-05-13 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902643","193071","193071","1563","92342",2020-03-23,"XX-500",1,2020-03-23 00:00:00,2020-03-23 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4902647","192976","192976","1563","92345",2020-07-22,"XX-500",1,2020-07-23 00:00:00,2020-07-23 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
