PersonalID,FirstName,MiddleName,LastName,NameSuffix,NameDataQuality,SSN,SSNDataQuality,DOB,DOBDataQuality,AmIndAKNative,Asian,BlackAfAmerican,NativeHIOtherPacific,White,RaceNone,Ethnicity,Female,Male,GenderOther,Transgender,Questioning,GenderNone,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,DischargeStatus,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
6806,First0,,Last0,,9,,99,,99,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2016-05-18 05:33:00,2016-05-18 05:33:00,verlene,,77ebf652741208fa9a36c52556058416
6906,First1,,""Last1"",,9,,99,,99,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2016-11-07 11:14:00,2016-11-07 11:13:00,verlene,,77ebf652741208fa9a36c52556058416
6921,First2,,"Last2 "BAD DATA"",,9,,99,,99,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2017-01-24 11:07:00,2017-01-24 11:06:00,verlene,,77ebf652741208fa9a36c52556058416
7308,First3,,"Last3""",,,,99,,9,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2016-12-06 12:03:00,2016-12-06 12:03:00,verlene,,77ebf652741208fa9a36c52556058416
6792,First4,,"Last4"TEST" Last",,,,99,1984-01-08,9,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,2015-09-10 21:40:00,cordell,,77ebf652741208fa9a36c52556058416
6798,First,5,,Last5,,,,99,08-MAY-67,,0,0,0,0,0,99,0,0,0,0,0,,1,99,,,,,,,,,,,,,2015-09-10 21:40:00,2015-09-10 21:40:00,cordell,,77ebf652741208fa9a36c52556058416
6800,First6,,Last6,,,,,17-JUN-20,,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,2015-09-10 21:39:00,cordell,,77ebf652741208fa9a36c52556058416
6801,First7,,Last7,,,,99,1990-07-16,99,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,9-10-2015 21:39:00,cordell,,77ebf652741208fa9a36c52556058416
6803,First8,,Last8,,,,99,1960-08-02,99,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,9/10/2015 21:39:00,cordell,,77ebf652741208fa9a36c52556058416
6810,First9,,Last9,,1,888888,,2008-08-22,1,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2016-07-14 09:59:00,7/14/16 09:59:00,verlene,,77ebf652741208fa9a36c52556058416
6812,First10,,Last10,,1,,99,2002-09-30,1,0,0,0,0,0,99,99,0,0,0,0,0,,,,,,,,,,,,,,,2016-04-28 05:17:00,04-28-19 05:17:00,verlene,,77ebf652741208fa9a36c52556058416
6915,First11,,Last11,,99,,99,1974-03-28,1,0,0,0,0,0,99,99,0,0,0,0,0,,0,,,,,,,,,,,,,2016-12-28 10:50:00,2016-12-28 10:50:00,verlene,,77ebf652741208fa9a36c52556058416
6918,First12,,Last12,,1,,99,1975-12-25,1,0,0,1,0,0,,99,0,0,0,0,0,,0,,,,,,,,,,,,,2017-01-04 10:41:00,2017-01-04 10:40:00,verlene,,77ebf652741208fa9a36c52556058416
6922,First13,,Last13,,99,,99,1979-01-22,1,0,0,0,0,0,99,99,0,0,0,0,0,,,,,,,,,,,,,,,2017-02-11 13:48:00,2017-02-11 13:48:00,verlene,,77ebf652741208fa9a36c52556058416
7058,First14,,Last14,,1,682380608,1,1970-11-08,1,0,0,0,0,1,,0,0,0,0,0,0,,9,,,,,,,,,,,,,2011-04-01 18:25:00,2019-03-07 02:00:00,danette,,77ebf652741208fa9a36c52556058416
6750,First15,M,Last15,,,,1,1963-12-19,99,0,0,1,0,0,,0,0,0,0,0,0,,99,,,,,,,,,,,,,2008-08-12 20:03:00,2015-09-10 18:25:00,cordell,,77ebf652741208fa9a36c52556058416
6755,First16,A.,Last16,,1,241769443,1,2001-01-08,1,0,0,1,0,0,,0,0,0,0,0,0,,0,,,,,,,,,,,,,2009-08-04 05:58:00,2018-08-23 19:44:00,cordia,,77ebf652741208fa9a36c52556058416
6761,First17,,Last17,,1,686001468,1,2013-04-19,1,0,0,1,0,0,,0,0,0,0,0,0,,0,,,,,,,,,,,,,2015-03-24 23:19:00,2016-09-29 00:06:00,dorthey,,77ebf652741208fa9a36c52556058416
6783,First18,,Last18,,1,888888,99,1997-02-15,1,0,0,0,0,1,,0,0,0,0,0,0,,0,,,,,,,,,,,,,2015-11-13 09:52:00,2015-11-13 09:51:00,verlene,,77ebf652741208fa9a36c52556058416
6784,First19,,Last19,,1,888888,99,1995-05-23,1,0,0,0,0,0,99,1,0,0,0,0,0,,9,,,,,,,,,,,,,2015-11-13 09:08:00,2015-11-13 09:07:00,verlene,,77ebf652741208fa9a36c52556058416
6785,First20,,Last20,,1,,8,1998-11-13,1,0,0,0,0,0,99,1,0,0,0,0,0,,99,,,,,,,,,,,,,2015-11-04 12:11:00,2015-11-04 12:11:00,verlene,,77ebf652741208fa9a36c52556058416
6788,First21,H.,Last21,,1,254919358,1,1971-11-05,1,0,0,0,0,1,,0,0,0,0,0,0,,0,,,,,,,,,,,,,2009-12-21 23:55:00,2016-06-23 01:14:00,roseann,,77ebf652741208fa9a36c52556058416
6795,First22,,Last22,,1,888888,99,1998-08-24,1,0,0,0,0,0,99,1,0,0,0,0,0,,0,,,,,,,,,,,,,2015-11-14 07:48:00,2015-11-14 07:47:00,verlene,,77ebf652741208fa9a36c52556058416
6796,First23,,Last23,,,,9,1955-07-25,99,0,0,0,0,0,9,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,2015-09-10 21:40:00,cordell,,77ebf652741208fa9a36c52556058416
6797,First24,,Last24,,,,9,1949-05-09,99,0,0,0,0,0,9,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:38:00,2015-09-10 21:37:00,cordell,,77ebf652741208fa9a36c52556058416
6813,First25,,Last25,,1,888888,99,2000-06-27,1,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2016-05-26 10:16:00,2016-05-26 10:16:00,verlene,,77ebf652741208fa9a36c52556058416
7110,First26,,Last26,,,,99,2004-08-04,99,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,2015-09-10 21:39:00,cordell,,77ebf652741208fa9a36c52556058416
7113,First27,,Last27,,,,99,1974-09-05,99,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,2015-09-10 21:40:00,cordell,,77ebf652741208fa9a36c52556058416
7114,First28,,Last28,,1,181208262,1,1973-09-14,1,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,2015-09-10 21:40:00,cordell,,77ebf652741208fa9a36c52556058416
7116,First29,,Last29,,1,411476750,1,1977-02-25,1,0,0,1,0,0,,1,0,0,0,0,0,,0,,,,,,,,,,,,,2017-03-17 18:26:00,2017-03-17 18:26:00,kindra,,77ebf652741208fa9a36c52556058416
7118,First30,,Last30,,,,99,1954-04-03,99,0,0,0,0,0,99,99,0,0,0,0,0,,99,,,,,,,,,,,,,2015-09-10 21:40:00,2015-09-10 21:40:00,cordell,,77ebf652741208fa9a36c52556058416
6719,First31,,Last31,,1,565118123,1,2010-06-16,1,0,0,1,0,0,,0,0,0,0,0,0,,0,,,,,,,,,,,,,2008-03-12 08:18:00,2018-04-23 22:31:00,donald,,77ebf652741208fa9a36c52556058416
7135,First,32,,Last32,,1,888888,99,1952-09-07,1,0,0,0,0,0,99,0,0,0,0,0,,,99,,,,,,,,,,,,,2016-05-18 11:34:00,2016-05-18 11:34:00,verlene,,77ebf652741208fa9a36c52556058416
