"AssessmentID","EnrollmentID","PersonalID","AssessmentDate","AssessmentLocation","AssessmentType","AssessmentLevel","PrioritizationStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4770474","181386","76769",2019-10-28,"Agency Two",3,2,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"8",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4770476","181386","76769",2021-04-01,"Agency One",3,1,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"8",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4770479","181388","76771",2021-07-15,"Agency One",3,2,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"8",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4770481","181384","76767",2021-04-21,"Agency One",3,2,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4770482","181385","76768",2021-04-01,"Agency One",3,2,1,2021-08-18 00:00:00,2021-08-18 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4770483","181389","76772",2021-04-01,"Agency One",3,2,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4770484","181387","76770",2021-03-14,"Agency One",3,2,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4770488","181390","62114",2021-08-18,"Agency Four",3,1,2,2021-08-18 00:00:00,2021-08-18 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4773592","181672","76809",2021-08-25,"Agency One",1,2,2,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4773595","181659","76805",2021-06-01,"Agency Two",1,2,2,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4773597","181655","76801",2021-05-01,"Agency One",3,1,2,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"4773599","181640","76778",2021-04-01,"Agency One",3,2,2,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
