"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"62114","Curly","","Glue","",1,"000217679",1,1980-07-23,1,0,0,1,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2021-08-18 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"74794","John","","Doe","",1,"123456789",1,2003-10-12,1,1,0,0,0,0,,0,1,0,0,0,0,,1,,,,,,,,,,,,,2021-05-11 14:32:45,2021-05-11 00:00:00,"882",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"76767","Athena","T","Jazzy","lll",1,"300072252",1,1976-07-06,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2009-03-19 12:17:00,2021-04-21 00:00:00,"887",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"76768","Dumbledore","Z","Pyramidal","Jr.",1,"300120213",1,1960-04-30,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2012-03-14 11:32:55,2020-03-06 00:00:00,"2144",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"76769","Cupcake","T","Detailed","",1,"300442055",1,1952-10-01,1,0,0,1,0,0,,0,0,1,0,0,0,,1,,,,,,,,,,,,,2019-10-21 19:09:55,2020-07-01 00:00:00,"1010",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"76770","Shark","Z","Cushion","",1,"300458089",1,1945-08-19,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2020-06-11 13:50:40,2020-12-03 00:00:00,"845",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"76771","Davi","Q","Durki","",1,"123456789",1,1996-09-02,1,1,0,1,0,0,,1,0,1,0,0,0,,1,,,,,,,,,,,,,2021-01-29 16:48:00,2021-08-13 00:00:00,"8",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"76772","Mak","","Allen","",1,"123456789",1,2020-01-01,1,0,1,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-02-11 16:14:16,2021-07-29 00:00:00,"887",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"76773","Guadalupe","Green","Cavallo","",1,"516251004",1,2000-01-11,1,1,1,1,1,1,,0,1,1,1,1,1,,0,,,,,,,,,,,,,2021-08-23 15:37:37,2021-08-23 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
"76774","Cande","","Michalski","",2,"581713692",2,1982-10-21,2,0,0,0,1,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-08-23 15:46:49,2021-08-26 00:00:00,"891",,"2794A321AB284B7D820FF3C7A6BD1D5C"
