"EnrollmentCoCID","EnrollmentID","HouseholdID","ProjectID","PersonalID","InformationDate","CoCCode","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4717170","179415","179415","942","74794",2021-05-11,"XX-500",1,2021-05-11 00:00:00,2021-05-11 00:00:00,"882",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4770266","181385","181385","942","76768",2020-02-28,"XX-500",1,2020-02-28 00:00:00,2020-02-28 00:00:00,"3285",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4770283","181387","181387","942","76770",2020-06-14,"XX-500",1,2020-06-14 00:00:00,2020-06-14 00:00:00,"3381",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4770320","181388","181388","942","76771",2021-05-11,"XX-500",1,2021-05-12 00:00:00,2021-05-12 00:00:00,"845",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4770353","181389","181389","942","76772",2021-04-01,"XX-500",1,2021-04-01 00:00:00,2021-04-01 00:00:00,"887",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4770433","181384","181384","942","76767",2021-04-21,"XX-500",1,2021-04-21 00:00:00,2021-04-21 00:00:00,"887",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4770448","181386","181386","942","76769",2019-10-28,"XX-500",1,2019-10-28 00:00:00,2019-10-28 00:00:00,"2403",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4770486","181390","181390","942","62114",2020-08-03,"XX-500",1,2021-08-18 00:00:00,2021-08-18 00:00:00,"891",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4773234","181636","181636","942","76773",2020-05-01,"XX-500",1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4773242","181637","181637","942","76774",2020-05-01,"XX-500",1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4773265","181638","181638","942","76776",2020-05-01,"XX-500",1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4773266","181639","181639","942","76777",2020-05-01,"XX-500",1,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
"4773285","181640","181640","942","76778",2020-05-01,"XX-500",1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"A8C8DBABD4696D8FDB831B4EE408B7D7"
