"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOFPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"181582","76773","807",2020-05-01,"181582",1,16,10,99,99,2019-08-14,1,101,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"181583","76774","807",2020-05-01,"181583",1,1,11,99,99,2018-09-13,2,102,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-26 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"181583_26151","76775","807",2020-05-01,"181583",2,1,11,99,99,2018-09-13,2,102,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"181584","76776","807",2020-05-01,"181584",1,14,11,1,1,2020-04-01,9,106,99,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"181585","76777","807",2020-05-01,"181585",1,34,2,0,99,2020-05-01,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"181586","76778","807",2020-05-01,"181586",1,18,3,99,99,2019-07-28,3,113,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"181587","76779","807",2020-05-01,"181587",1,10,3,0,99,2020-05-01,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"181586_26152","76780","807",2020-05-01,"181586",2,18,3,99,99,2019-07-28,3,113,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"181588","76781","807",2020-05-01,"181588",1,2,10,1,1,2020-03-05,,107,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"181588_26154","76782","807",2020-05-01,"181588",2,32,10,1,1,2020-01-01,4,108,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
