"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOFPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"181392","76773","808",2020-05-01,"181392",1,16,10,99,99,2019-08-14,1,101,1,,2020-05-01,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181393","76774","808",2020-05-01,"181393",1,1,11,99,99,2018-09-13,2,102,0,,2020-07-01,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-26 00:00:00,"891",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181393_26088","76775","808",2020-05-01,"181393",2,1,11,99,99,2018-09-13,2,102,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181394","76776","808",2020-05-01,"181394",1,14,11,1,1,2020-04-01,9,106,99,,2020-05-01,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-24 00:00:00,"889",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181395","76777","808",2020-05-01,"181395",1,34,2,0,99,2020-05-01,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181396","76778","808",2020-05-01,"181396",1,18,3,99,99,2019-07-28,3,113,1,,2021-03-15,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-24 00:00:00,"891",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181397","76779","808",2020-05-01,"181397",1,10,3,0,99,2020-05-01,,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181396_26089","76780","808",2020-05-01,"181396",2,18,3,99,99,2019-07-28,3,113,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181398","76781","808",2020-05-01,"181398",1,2,10,1,1,2020-03-05,,107,0,,2021-08-01,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181398_26090","76782","808",2020-05-01,"181398",2,32,10,1,1,2020-01-01,4,108,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181399","76783","808",2020-05-01,"181399",1,36,11,1,1,2020-03-01,2,109,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E58D586BD82E4E5C9E08938F3EECDE91"
"181399_26091","76784","808",2020-07-05,"181399",3,36,11,1,1,2020-03-01,2,110,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E58D586BD82E4E5C9E08938F3EECDE91"
