"EnrollmentCOCID","EnrollmentID","HouseholdID","ProjectID","PersonalID","InformationDate","CoCCode","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4773603","181534","181534","239","76781",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773604","181540","181540","239","76791",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773605","181529","181529","239","76774",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773606","181531","181531","239","76777",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773607","181533","181533","239","76779",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773608","181550","181550","239","76804",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773609","181535","181535","239","76783",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773610","181553","181553","239","76807",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773611","181549","181549","239","76803",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773612","181528","181528","239","76773",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773613","181545","181545","239","76799",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773614","181530","181530","239","76776",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773615","181542","181542","239","76795",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773616","181554","181554","239","76808",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773617","181670","181670","239","76809",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773618","181537","181537","239","76787",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773619","181551","181551","239","76805",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773620","181532","181532","239","76778",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773621","181543","181543","239","76797",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773622","181538","181538","239","76788",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773623","181541","181541","239","76793",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773624","181539","181539","239","76789",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773625","181544","181544","239","76798",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773626","181546","181546","239","76800",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773627","181552","181552","239","76806",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773628","181536","181536","239","76786",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773629","181548","181548","239","76802",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
"4773630","181547","181547","239","76801",2020-05-01,"XX-500",1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"06B37657F61C4882A15BCFF0B174B26E"
