"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"76773","Guadalupe","Green","Cavallo","",1,"516251004",1,2000-01-11,1,1,1,1,1,1,,0,1,1,1,1,1,,0,,,,,,,,,,,,,2021-08-23 15:37:37,2021-08-23 00:00:00,"891",,"9E43CDDC1F365F290151FB00755D06D6"
"76774","Cande","","Michalski","",2,"581713692",2,1982-10-21,2,0,0,0,1,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-08-23 15:46:49,2021-08-26 00:00:00,"891",,"9E43CDDC1F365F290151FB00755D06D6"
"76775","Greer","","Schröter","",8,"319326759",8,,8,1,1,1,0,1,,8,1,1,1,0,1,,8,,,,,,,,,,,,,2021-08-23 16:07:40,2021-10-25 00:00:00,"889",,"9E43CDDC1F365F290151FB00755D06D6"
"76776","Jacob","","Voorhees","",1,"603358075",1,1999-01-12,1,1,1,0,0,1,,0,1,1,0,0,1,,0,,,,,,,,,,,,,2021-08-23 16:13:33,2021-08-23 00:00:00,"889",,"9E43CDDC1F365F290151FB00755D06D6"
"76777","Daily","","Commons","",1,"771087344",1,1985-01-01,1,0,1,1,0,0,,0,0,1,1,0,0,,0,,,,,,,,,,,,,2021-08-23 16:31:48,2021-08-23 00:00:00,"887",,"9E43CDDC1F365F290151FB00755D06D6"
"76778","Parveen","","Sciarra","",9,"740746081",9,,9,1,1,0,1,1,,9,1,1,0,1,1,,9,,,,,,,,,,,,,2021-08-23 16:41:24,2021-10-25 00:00:00,"889",,"9E43CDDC1F365F290151FB00755D06D6"
"76779","Far","","Sentence","",1,"118276113",1,2015-01-02,1,0,1,0,0,1,,0,1,0,0,0,1,,0,,,,,,,,,,,,,2021-08-23 16:48:22,2021-08-23 00:00:00,"887",,"9E43CDDC1F365F290151FB00755D06D6"
"76780","Zoana","","Sciarra","",1,"278771363",1,2010-11-15,1,1,0,1,1,1,,1,1,0,1,1,1,,0,,,,,,,,,,,,,2021-08-23 16:48:38,2021-08-23 00:00:00,"891",,"9E43CDDC1F365F290151FB00755D06D6"
"76781","Bob","","Bobby","",1,"733545624",1,1998-02-15,1,1,1,0,1,0,,0,1,1,0,1,0,,0,,,,,,,,,,,,,2021-08-24 08:36:38,2021-08-24 00:00:00,"889",,"9E43CDDC1F365F290151FB00755D06D6"
"76782","Susie","","Bobby","",1,"814154125",1,2015-05-02,1,0,1,1,0,1,,0,0,1,1,0,1,,0,,,,,,,,,,,,,2021-08-24 08:49:47,2021-08-24 00:00:00,"889",,"9E43CDDC1F365F290151FB00755D06D6"
"76783","Gary","","Enchilada","",1,"503911656",1,1990-08-08,1,1,0,1,1,0,,0,1,0,1,1,0,,0,,,,,,,,,,,,,2021-08-24 09:00:16,2021-08-24 00:00:00,"889",,"9E43CDDC1F365F290151FB00755D06D6"
"76784","Pickle","","Enchilada","",1,"122235395",1,1991-04-12,1,0,1,0,1,1,,0,0,1,0,1,1,,0,,,,,,,,,,,,,2021-08-24 09:08:42,2021-08-24 00:00:00,"889",,"9E43CDDC1F365F290151FB00755D06D6"
"76785","Gidget","","Enchilada","",1,"984914948",1,2019-01-17,1,1,0,1,0,1,,1,1,0,1,0,1,,0,,,,,,,,,,,,,2021-08-24 09:16:29,2021-08-24 00:00:00,"889",,"9E43CDDC1F365F290151FB00755D06D6"
