PAT_ID,MEDICAID_ID,PAT_LAST_NAME,PAT_FIRST_NAME,DOB,PHONE,SSN,VACCINATION_DATE,VACCINATION_TYPE,DEPARTMENT_NAME,LANG,row_created,row_updated
Z00737716,10000000060,Mabelle,Tillman,1981-08-21,555-111-2222,233-77-5389,2021-01-15,"Moderna",BHCHP,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z1714817,10000000060,Hugh,Thompson,1958-09-09,555-111-1111,211-90-6942,2021-01-02,"Moderna",BHCHP,"Spanish","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z1988884,"",Hugh,Thompson,1958-09-09,555-111-1111,211-90-6942,2021-01-16,"Moderna",BHCHP,"Unknown","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z2444566,NULL,Test,One,1958-09-10,555-111-1111,211-90-6943,2021-01-16,"Moderna",BHCHP,"Other","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z4546043,5645645644,Test,Two,1958-09-10,NONE,211-90-6944,2021-01-16,"Moderna",BHCHP,"Arabic","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z844073,ASD1234567,Test,Three,"1/20/1981 12:00:00 AM",555-111-1111,999-99-9999,"1/16/2021 12:00:00 AM","Moderna",BHCHP,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z844073,ASD1234567,Test,Three,"1/20/1981 12:00:00 AM",555-111-1111,999-99-9999,"1/16/2021 12:00:00 AM","Moderna",BHCHP,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z983876,202638600WA,Test,Four,1958-09-10,"",211-90-6946,2021-01-16,"Moderna",BHCHP,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z9838765,10000000062,Test,Five,1958-09-10,555-111-1111,211-90-6947,2021-01-16,"Pfizer",NULL,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z9838767,10000000063,Test,Six,1958-09-10,555-111-1111,211-90-6948,2021-01-16,"Moderna",NULL,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z9838768,10000000064,Test,Seven,1958-09-10,555-111-1111,211-90-6949,2021-01-16,"Moderna",NULL,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z9838769,10000000065,Test,Eight,1958-09-10,555-111-1111,211-90-6950,2021-01-16,"Moderna",NULL,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
Z9838760,10000000067,Test,Nine,1958-09-10,555-111-1111,211-90-6951,2021-01-16,"Moderna",NULL,"English","2021-01-15 03:08:52.843","2021-01-15 03:08:52.843"
