EnrollmentCoCID,EnrollmentID,HouseholdID,ProjectID,PersonalID,InformationDate,CoCCode,DataCollectionStage,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
3278,2721,1_1_104765,117,7313,2017-01-09,XX-500,1,2017-01-09 10:00 AM,2017-01-25 05:52 PM,devorah,,77ebf652741208fa9a36c52556058416
3422,2935,1_1_62487,117,7394,2016-12-20,XX-500,1,2016-12-20 10:00 AM,2017-02-06 10:14 PM,carolyn,,77ebf652741208fa9a36c52556058416
3431,2948,1_1_105687,117,7067,2017-03-23,XX-500,1,2017-03-23 08:00 AM,2017-03-28 07:23 PM,dalene,,77ebf652741208fa9a36c52556058416
3454,3023,1_1_1_25400,239,8108,2014-12-24,XX-500,1,2014-12-24 03:00 PM,2014-12-25 05:45 PM,kenisha,,77ebf652741208fa9a36c52556058416
3460,3077,1_1_1_112443,239,8693,2015-04-21,XX-500,1,2015-04-21 12:00 PM,2015-04-22 02:46 PM,joshua,,77ebf652741208fa9a36c52556058416
3469,3091,1_1_1_115104,239,8765,2015-07-07,XX-500,1,2015-07-07 12:00 PM,2017-08-04 08:15 AM,fidel_ko,,77ebf652741208fa9a36c52556058416
3471,3073,1_1_1_27294,239,8346,2015-08-15,XX-500,1,2015-08-15 12:00 PM,2015-08-16 02:43 PM,kenisha,,77ebf652741208fa9a36c52556058416
3475,3043,1_1_1_115904,239,8334,2012-12-11,XX-500,1,2012-12-11 03:00 PM,2016-07-23 01:14 PM,kenisha,,77ebf652741208fa9a36c52556058416
3477,3099,1_1_1_46500,239,8523,2015-11-19,XX-500,1,2015-11-19 03:00 PM,2015-11-20 05:23 PM,joshua,,77ebf652741208fa9a36c52556058416
3478,3096,1_1_1_34623,239,8076,2015-12-08,XX-500,1,2015-12-08 03:00 PM,2015-12-09 05:15 PM,sheldon,,77ebf652741208fa9a36c52556058416
3487,3108,1_1_1_34772,239,8266,2016-06-18,XX-500,1,2016-06-18 12:00 PM,2016-06-19 02:26 PM,sheldon,,77ebf652741208fa9a36c52556058416
3492,3113,1_1_1_115259,239,8984,2016-10-22,XX-500,1,2016-10-22 12:00 PM,2016-10-23 04:46 PM,gordon,,77ebf652741208fa9a36c52556058416
3495,3116,1_1_1_33235,239,7477,2016-11-02,XX-500,1,2016-11-02 12:00 PM,2016-11-03 02:52 PM,gordon,,77ebf652741208fa9a36c52556058416
3500,3123,1_1_1_29928,239,7563,2016-12-10,XX-500,1,2016-12-10 03:00 PM,2016-12-11 07:28 PM,sheldon,,77ebf652741208fa9a36c52556058416
3508,3129,1_1_1_104553,239,9133,2017-01-10,XX-500,1,2017-01-10 03:00 PM,2017-01-11 05:32 PM,sheldon,,77ebf652741208fa9a36c52556058416
3517,3138,1_1_1_38144,239,7076,2017-01-31,XX-500,1,2017-01-31 03:00 PM,2017-02-01 08:02 PM,sheldon,,77ebf652741208fa9a36c52556058416
3518,3140,1_1_1_52886,239,8295,2017-02-06,XX-500,1,2017-02-06 03:00 PM,2017-02-07 05:28 PM,sheldon,,77ebf652741208fa9a36c52556058416
3523,3144,1_1_1_20912,239,7978,2017-03-01,XX-500,1,2017-03-01 03:00 PM,2017-03-02 05:26 PM,sheldon,,77ebf652741208fa9a36c52556058416
3526,3150,1_1_1_51857,239,8107,2017-03-26,XX-500,1,2017-03-26 12:00 PM,2017-03-29 02:03 PM,kenisha,,77ebf652741208fa9a36c52556058416
3527,3152,1_1_1_34707,239,8175,2017-03-30,XX-500,1,2017-03-30 12:00 PM,2017-03-31 02:38 PM,kenisha,,77ebf652741208fa9a36c52556058416
3542,3148,1_1_1_40017,239,7593,2017-03-19,XX-500,1,2017-03-19 12:00 PM,2017-05-14 04:05 PM,kenisha,,77ebf652741208fa9a36c52556058416
3543,3120,1_1_1_54923,239,8440,2016-11-20,XX-500,1,2016-11-20 03:00 PM,2017-05-18 12:14 AM,kenisha,,77ebf652741208fa9a36c52556058416
3544,3149,1_1_1_41556,239,7542,2017-03-19,XX-500,1,2017-03-19 12:00 PM,2017-05-18 04:53 AM,kenisha,,77ebf652741208fa9a36c52556058416
3632,2990,1_1_1_48126,239,7479,2007-04-13,XX-500,1,2007-04-13 12:00 PM,2017-09-17 07:48 AM,kenisha,,77ebf652741208fa9a36c52556058416
7306,2984,1_1_1_30394,239,7035,2011-09-08,XX-500,1,2011-09-08 12:00 PM,2018-12-01 11:40 AM,kenisha,,77ebf652741208fa9a36c52556058416
7307,2986,1_1_1_47458,239,7766,2011-03-11,XX-500,1,2011-03-11 03:00 PM,2018-12-01 11:35 AM,kenisha,,77ebf652741208fa9a36c52556058416
7308,2987,1_1_1_47737,239,7902,2012-04-07,XX-500,1,2012-04-07 12:00 PM,2018-12-01 12:05 PM,kenisha,,77ebf652741208fa9a36c52556058416
7341,2993,1_1_1_48498,239,6719,2013-10-09,XX-500,1,2013-10-09 12:00 PM,2018-12-02 07:32 PM,kenisha,,77ebf652741208fa9a36c52556058416
7342,3085,1_1_1_119837,239,8707,2014-07-26,XX-500,1,2014-07-26 12:00 PM,2018-12-02 07:52 PM,kenisha,,77ebf652741208fa9a36c52556058416
7343,2995,1_1_1_57566,239,7849,2014-07-01,XX-500,1,2014-07-01 12:00 PM,2018-12-02 07:36 PM,kenisha,,77ebf652741208fa9a36c52556058416
11998,15268,1_1_1_48122,239,7541,2016-07-26,XX-500,1,2016-07-26 12:00 PM,2016-07-27 02:51 PM,sheldon,,77ebf652741208fa9a36c52556058416
