"EnrollmentCOCID","EnrollmentID","HouseholdID","ProjectID","PersonalID","InformationDate","CoCCode","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4061239","168955",168955,"882","61946",2015-11-18,"XX-500",1,2015-11-18 00:00:00,2015-11-18 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061240","169002",169002,"882","61946",2016-01-05,"XX-500",1,2016-01-05 00:00:00,2016-01-05 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061241","169363",169363,"882","61946",2017-02-26,"XX-500",1,2017-02-26 00:00:00,2017-02-26 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061242","169878",169878,"882","61946",2018-01-09,"XX-500",1,2018-01-09 00:00:00,2018-01-09 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061243","169416",169416,"242","61947",2017-04-11,"XX-500",1,2017-04-11 00:00:00,2017-04-11 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061244","169491",169491,"242","61947",2017-06-01,"XX-500",1,2017-06-01 00:00:00,2017-06-01 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061245","169671",169671,"808","61947",2017-08-10,"XX-500",1,2017-09-16 00:00:00,2017-09-16 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061246","169379",169379,"808","61948",2017-03-02,"XX-500",1,2017-03-09 00:00:00,2017-03-09 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061247","170241",170241,"242","61948",2018-03-14,"XX-500",1,2018-03-14 00:00:00,2018-03-14 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061248","169445",169445,"242","61949",2017-04-27,"XX-500",1,2017-05-04 00:00:00,2017-05-04 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061251","169151",169151,"441","61951",2016-06-30,"XX-500",1,2016-07-07 00:00:00,2016-07-07 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061252","168940",168940,"240","61952",2015-10-24,"XX-500",1,2015-10-24 00:00:00,2015-10-24 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061253","169145",169145,"808","61952",2016-06-15,"XX-500",1,2016-07-02 00:00:00,2016-07-02 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061254","169576",169576,"882","61952",2017-07-26,"XX-500",1,2017-07-26 00:00:00,2017-07-26 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061255","169654",169654,"240","61952",2017-09-06,"XX-500",1,2017-10-11 00:00:00,2017-10-11 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061256","169113",169113,"882","61953",2016-05-11,"XX-500",1,2016-05-12 00:00:00,2016-05-12 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061257","169573",169573,"240","61953",2017-06-09,"XX-500",1,2017-07-25 00:00:00,2017-07-25 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061258","169879",169879,"882","61953",2018-01-11,"XX-500",1,2018-02-17 00:00:00,2018-02-17 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061259","169943",169943,"240","61953",2018-02-17,"XX-500",1,2018-02-17 00:00:00,2018-02-17 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061260","169295",169295,"242","61954",2016-12-24,"XX-500",1,2017-03-09 00:00:00,2017-03-09 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061261","169330",169330,"882","61955",2017-01-27,"XX-500",1,2017-01-28 00:00:00,2017-01-28 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061262","169787",169787,"882","61955",2017-11-21,"XX-500",1,2017-11-21 00:00:00,2017-11-21 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061263","170197",170197,"882","61955",2018-09-15,"XX-500",1,2018-09-15 00:00:00,2018-09-15 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061264","168904",168904,"882","61956",2015-08-16,"XX-500",1,2015-08-16 00:00:00,2015-08-16 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061265","168906",168906,"240","61956",2015-08-19,"XX-500",1,2015-08-19 00:00:00,2015-08-19 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061266","168917",168917,"242","61956",2015-09-04,"XX-500",1,2015-09-30 00:00:00,2015-09-30 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061267","169351",169351,"240","61956",2017-02-16,"XX-500",1,2017-02-16 00:00:00,2017-02-16 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061268","169537",169537,"242","61956",2017-06-30,"XX-500",1,2017-07-01 00:00:00,2017-07-01 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061269","169657",169657,"242","61956",2017-09-06,"XX-500",1,2017-09-08 00:00:00,2017-09-08 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061270","168991",168991,"242","61957",2015-12-19,"XX-500",1,2015-12-22 00:00:00,2015-12-22 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061271","169041",169041,"882","61957",2016-02-07,"XX-500",1,2016-02-07 00:00:00,2016-02-07 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061272","169485",169485,"242","61957",2017-05-24,"XX-500",1,2017-05-24 00:00:00,2017-05-24 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061273","169528",169528,"808","61957",2017-06-23,"XX-500",1,2017-06-24 00:00:00,2017-06-24 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061275","168903",168903,"441","61959",2015-08-15,"XX-500",1,2015-10-13 00:00:00,2015-10-13 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061276","170345",170345,"441","61960",2018-08-15,"XX-500",1,2019-01-04 00:00:00,2019-01-04 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061277","168828",168828,"808","61961",2015-02-28,"XX-500",1,2015-02-28 00:00:00,2015-02-28 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061278","170155",170155,"240","61961",2018-08-01,"XX-500",1,2018-08-01 00:00:00,2018-08-01 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061279","170262",170262,"240","61961",2018-08-27,"XX-500",1,2018-10-31 00:00:00,2018-10-31 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061281","168736",168736,"808","61963",2014-10-04,"XX-500",1,2014-10-09 00:00:00,2014-10-09 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061282","169517",169517,"882","61963",2017-06-21,"XX-500",1,2017-06-21 00:00:00,2017-06-21 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061283","169627",169627,"240","61963",2017-08-22,"XX-500",1,2017-08-22 00:00:00,2017-08-22 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061284","169908",169908,"882","61963",2018-02-01,"XX-500",1,2018-02-01 00:00:00,2018-02-01 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
"4061285","169919",169919,"240","61963",2018-02-08,"XX-500",1,2018-02-08 00:00:00,2018-02-08 00:00:00,"0",,"F0565376BCAA44529FB72BC3A948EAD8"
