"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIOtherPacific","White","RaceNone","Ethnicity","Gender","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"61946","Spider","","Barge","",1,"000100343",1,1971-11-14,1,0,0,0,1,0,,0,0,0,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2018-12-31 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61947","Lizard","","Submarine","",1,"000100364",1,1956-11-17,1,0,1,0,0,1,,0,0,1,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2018-12-01 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61948","Rainstorm","","Lace","",1,"000101231",1,1972-11-06,1,1,0,0,0,0,,0,0,0,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2019-01-09 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61949","Dangle","","Indigo","",1,"000102120",1,1979-09-16,1,0,0,0,0,1,,0,0,0,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2018-12-21 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61951","Cello","","Arbor","",1,"000102246",1,1979-11-29,1,0,1,1,0,0,,0,3,0,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2019-01-30 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61952","Territory","","Gravy","",1,"000010253",1,1967-03-18,1,0,1,1,0,0,,1,1,0,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2019-02-08 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61953","Calcium","","Portland","",1,"000010259",1,1981-12-23,1,0,0,0,0,1,,0,1,0,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2018-02-17 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61954","Wonder","","Ohio","",1,"000103280",1,1983-03-08,1,0,1,0,0,1,,0,1,1,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2018-06-01 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61955","Turtle","","Scale","",1,"000103351",1,1987-05-25,1,0,0,0,0,1,,0,0,0,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2018-11-15 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61956","Fluff","","Lumber","",1,"000103613",1,1962-05-07,1,0,0,1,0,0,,0,0,1,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2017-09-08 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61957","Guitar","","Nebula","",1,"000104013",1,1958-08-09,1,0,0,0,0,1,,0,0,1,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2017-06-24 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61959","Tennis","","Relevant","",1,"000104178",1,2000-04-08,1,0,0,1,0,1,,0,1,99,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2018-09-15 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"61960","Bicycle","","Backpack","",1,"000104771",1,1974-12-30,1,1,0,0,0,0,,0,1,1,,,99,99,99,99,99,99,99,99,99,99,1990-01-01 00:00:00,2018-10-13 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
