"EnrollmentCOCID","EnrollmentID","HouseholdID","ProjectID","PersonalID","InformationDate","CoCCode","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4061239","168955",168955,"882","61946",2015-11-18,"XX-500",1,2015-11-18 00:00:00,2015-11-18 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061240","169002",169002,"882","61946",2016-01-05,"XX-500",1,2016-01-05 00:00:00,2016-01-05 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061241","169363",169363,"882","61946",2017-02-26,"XX-500",1,2017-02-26 00:00:00,2017-02-26 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061242","169878",169878,"882","61946",2018-01-09,"XX-500",1,2018-01-09 00:00:00,2018-01-09 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061243","169416",169416,"242","61947",2017-04-11,"XX-500",1,2017-04-11 00:00:00,2017-04-11 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061244","169491",169491,"242","61947",2017-06-01,"XX-500",1,2017-06-01 00:00:00,2017-06-01 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061245","169671",169671,"808","61947",2017-08-10,"XX-500",1,2017-09-16 00:00:00,2017-09-16 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061246","169379",169379,"808","61948",2017-03-02,"XX-500",1,2017-03-09 00:00:00,2017-03-09 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061247","170241",170241,"242","61948",2018-03-14,"XX-500",1,2018-03-14 00:00:00,2018-03-14 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061248","169445",169445,"242","61949",2017-04-27,"XX-500",1,2017-05-04 00:00:00,2017-05-04 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061251","169151",169151,"441","61951",2016-06-30,"XX-500",1,2016-07-07 00:00:00,2016-07-07 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"4061252","168940",168940,"240","61952",2015-10-24,"XX-500",1,2015-10-24 00:00:00,2015-10-24 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
