"ExitID","EnrollmentID","PersonalID","ExitDate","Destination","OtherDestination","HousingAssessment","SubsidyInformation","ProjectCompletionStatus","EarlyExitReason","ExchangeForSex","ExchangeForSexPastThreeMonths","CountOfExchangeForSex","AskedOrForcedToExchangeForSex","AskedOrForcedToExchangeForSexPastThreeMonths","WorkPlaceViolenceThreats","WorkPlacePromiseDifference","CoercedToContinueWork","LaborExploitPastThreeMonths","CounselingReceived","IndividualCounseling","FamilyCounseling","GroupCounseling","SessionCountAtExit","PostExitCounselingPlan","SessionsInPlan","DestinationSafeClient","DestinationSafeWorker","PosAdultConnections","PosPeerConnections","PosCommunityConnections","AftercareDate","AftercareProvided","EmailSocialMedia","Telephone","InPersonIndividual","InPersonGroup","CMExitReason","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"168731","168731","62491",2014-11-07,20,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2014-11-08 00:00:00,2014-11-08 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168732","168732","62001",2014-11-26,12,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2014-11-26 00:00:00,2014-11-26 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168733","168733","62053",2014-11-05,1,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2014-11-05 00:00:00,2014-11-05 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168734","168734","62146",2015-04-15,19,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-05-08 00:00:00,2015-05-08 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168735","168735","62515",2014-11-04,20,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2014-11-05 00:00:00,2014-11-05 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168736","168736","61963",2015-09-30,10,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-09-30 00:00:00,2015-09-30 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168737","168737","62516",2016-12-18,8,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2016-12-18 00:00:00,2016-12-18 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168738","168738","62148",2014-10-31,1,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2014-10-31 00:00:00,2014-10-31 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168739","168739","61982",2015-04-27,99,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-04-27 00:00:00,2015-04-27 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168740","168740","62063",2015-02-04,1,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-02-05 00:00:00,2015-02-05 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168741","168741","62193",2015-05-02,6,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-09-29 00:00:00,2015-09-29 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168742","168742","62547",2015-04-11,5,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-04-11 00:00:00,2015-04-11 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168743","168743","62150",2016-06-23,19,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2016-06-23 00:00:00,2016-06-23 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168744","168744","61998",2015-01-26,1,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-01-26 00:00:00,2015-01-26 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168745","168745","62152",2015-02-14,99,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-02-14 00:00:00,2015-02-14 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168746","168746","62491",2016-12-01,22,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2016-12-01 00:00:00,2016-12-01 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168746_21777","168746_21777","62492",2016-12-01,22,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2016-12-01 00:00:00,2016-12-01 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168746_21778","168746_21778","62493",2016-12-01,22,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2016-12-01 00:00:00,2016-12-01 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168747","168747","62151",2015-01-31,10,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-02-05 00:00:00,2015-02-05 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168748","168748","62128",2014-11-07,30,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2014-11-13 00:00:00,2014-11-13 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168749","168749","62148",2015-05-07,16,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-09-08 00:00:00,2015-09-08 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168750","168750","62014",2015-10-31,10,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-11-03 00:00:00,2015-11-03 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168751","168751","62515",2016-01-09,23,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2016-01-09 00:00:00,2016-01-09 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168752","168752","62153",2015-02-10,19,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-02-11 00:00:00,2015-02-11 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168753","168753","62128",2014-12-28,30,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2014-12-30 00:00:00,2014-12-30 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
"168754","168754","62097",2015-02-12,19,"",99,,,,99,,,,,99,99,,,,,,,,,,,,,,,,,,,,,,2015-02-19 00:00:00,2015-02-19 00:00:00,"0",,"0DAE814A5BDD45188C55937CED2DC454"
