"PersonalID","FirstName","MiddleName","LastName","NameSuffix","NameDataQuality","SSN","SSNDataQuality","DOB","DOBDataQuality","AmIndAKNative","Asian","BlackAfAmerican","NativeHIPacific","White","RaceNone","Ethnicity","Female","Male","NoSingleGender","Transgender","Questioning","GenderNone","VeteranStatus","YearEnteredService","YearSeparated","WorldWarII","KoreanWar","VietnamWar","DesertStorm","AfghanistanOEF","IraqOIF","IraqOND","OtherTheater","MilitaryBranch","DischargeStatus","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"61947","Lizard","","Submarine","",1,"000100364",1,1958-11-19,1,0,1,0,0,1,,0,1,0,0,0,0,,1,,,,,,,,,,,,,1990-01-01 00:00:00,2020-12-03 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61948","Rainstorm","","Lace","",1,"000101231",1,1974-11-08,1,1,0,0,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2021-01-11 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61949","Dangle","","Indigo","",1,"000102120",1,1981-09-18,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2020-12-23 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61950","Whisk","","Lavish","",1,"000102186",1,1972-07-22,1,0,0,1,1,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2021-01-21 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61951","Cello","","Arbor","",1,"000102246",1,1981-12-01,1,0,1,1,0,0,,0,0,1,0,1,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2021-02-01 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61952","Territory","","Gravy","",1,"000010253",1,1969-03-20,1,0,1,1,0,0,,1,0,1,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2021-02-10 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61953","Calcium","","Portland","",1,"000010259",1,1983-12-25,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2020-02-19 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61954","Wonder","","Ohio","",1,"000103280",1,1985-03-10,1,0,1,0,0,1,,0,0,1,0,0,0,,1,,,,,,,,,,,,,1990-01-01 00:00:00,2020-06-03 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61956","Fluff","","Lumber","",1,"000103613",1,1964-05-09,1,0,0,1,0,0,,0,1,0,0,0,0,,1,,,,,,,,,,,,,1990-01-01 00:00:00,2019-09-10 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61957","Guitar","","Nebula","",1,"000104013",1,1960-08-11,1,0,0,0,0,1,,0,1,0,0,0,0,,1,,,,,,,,,,,,,1990-01-01 00:00:00,2019-06-26 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61958","Wilt","","Level","",1,"000104088",1,1982-06-22,1,0,1,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2020-08-12 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61959","Tennis","","Relevant","",1,"000104178",1,2002-04-10,1,0,0,1,0,1,,0,0,1,0,0,0,,99,,,,,,,,,,,,,1990-01-01 00:00:00,2020-09-17 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61960","Bicycle","","Backpack","",1,"000104771",1,1977-01-01,1,1,0,0,0,0,,0,0,1,0,0,0,,1,,,,,,,,,,,,,1990-01-01 00:00:00,2020-10-15 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61961","Travel","","Stroll","",1,"000104837",1,1903-01-03,1,0,0,0,1,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2021-01-27 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61962","Carve","","Sandy","",1,"000105006",1,1981-05-13,1,0,0,1,0,1,,0,0,0,1,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2020-04-29 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"61963","Mosquito","","Molasses","",1,"000105128",1,1996-09-20,1,0,0,0,0,1,,0,1,0,0,1,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2020-07-28 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
