"EnrollmentID","PersonalID","ProjectID","EntryDate","HouseholdID","RelationshipToHoH","LivingSituation","LengthOfStay","LOSUnderThreshold","PreviousStreetESSH","DateToStreetESSH","TimesHomelessPastThreeYears","MonthsHomelessPastThreeYears","DisablingCondition","DateOfEngagement","MoveInDate","DateOFPATHStatus","ClientEnrolledInPATH","ReasonNotEnrolled","WorstHousingSituation","PercentAMI","LastPermanentStreet","LastPermanentCity","LastPermanentState","LastPermanentZIP","AddressDataQuality","ReferralSource","CountOutreachReferralApproaches","DateOfBCPStatus","EligibleForRHY","ReasonNoServices","RunawayYouth","SexualOrientation","SexualOrientationOther","FormerWardChildWelfare","ChildWelfareYears","ChildWelfareMonths","FormerWardJuvenileJustice","JuvenileJusticeYears","JuvenileJusticeMonths","UnemploymentFam","MentalHealthDisorderFam","PhysicalDisabilityFam","AlcoholDrugUseDisorderFam","InsufficientIncome","IncarceratedParent","VAMCStation","TargetScreenReqd","TimeToHousingLoss","AnnualPercentAMI","LiteralHomelessHistory","ClientLeaseholder","HOHLeaseholder","SubsidyAtRisk","EvictionHistory","CriminalRecord","IncarceratedAdult","PrisonDischarge","SexOffender","DisabledHoH","CurrentPregnant","SingleParent","DependentUnder6","HH5Plus","CoCPrioritized","HPScreeningScore","ThresholdScore","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"169416","61947","1099",2019-04-13,"169416",1,36,4,99,99,2019-04-13,,,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-04-13 00:00:00,2020-12-03 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"169491","61947","1099",2019-06-03,"169491",1,1,2,99,99,2019-04-04,3,103,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-06-03 00:00:00,2020-12-03 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"169671","61947","527",2019-08-12,"169671",1,1,4,99,99,2019-08-12,2,105,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-09-18 00:00:00,2020-12-03 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"169379","61948","527",2019-03-04,"169379",1,1,2,99,99,2019-03-04,1,,0,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-03-11 00:00:00,2021-01-11 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"170241","61948","1099",2020-03-16,"170241",1,1,3,99,99,2020-01-28,3,101,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2020-03-16 00:00:00,2021-01-11 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"169445","61949","1099",2019-04-29,"169445",1,4,3,1,0,2019-04-29,3,103,8,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-05-06 00:00:00,2020-12-23 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"169594","61949","959",2019-12-03,"169594",1,7,2,99,99,2019-12-03,4,113,8,2019-12-03,,2019-12-03,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-12-06 00:00:00,2020-12-23 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"169381","61950","959",2019-07-05,"169381",1,16,3,99,99,2019-07-05,3,106,9,2019-07-05,,2019-07-05,1,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2019-07-17 00:00:00,2021-01-21 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"169151","61951","1497",2018-07-02,"169151",1,16,3,99,99,2017-12-03,4,113,1,,2018-07-27,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2018-07-09 00:00:00,2021-02-01 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"168940","61952","240",2017-10-26,"168940",1,5,5,99,99,2017-10-26,3,,1,,,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2017-10-26 00:00:00,2021-02-10 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
"169145","61952","527",2018-06-17,"169145",1,1,4,99,99,2018-06-17,3,113,0,,2018-07-14,,99,,99,,"","","","",99,99,,,,,,99,"",99,,,99,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,2018-07-04 00:00:00,2021-02-10 00:00:00,"0",,"9BBCCC988F194C3D873B9FC2FE8C63FF"
