"EnrollmentCoCID","EnrollmentID","HouseholdID","ProjectID","PersonalID","InformationDate","CoCCode","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4061243","169416","169416","1099","61947",2019-04-13,"XX-500",1,2019-04-13 00:00:00,2019-04-13 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061244","169491","169491","1099","61947",2019-06-03,"XX-500",1,2019-06-03 00:00:00,2019-06-03 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061245","169671","169671","527","61947",2019-08-12,"XX-500",1,2019-09-18 00:00:00,2019-09-18 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061246","169379","169379","527","61948",2019-03-04,"XX-500",1,2019-03-11 00:00:00,2019-03-11 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061247","170241","170241","1099","61948",2020-03-16,"XX-500",1,2020-03-16 00:00:00,2020-03-16 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061248","169445","169445","1099","61949",2019-04-29,"XX-500",1,2019-05-06 00:00:00,2019-05-06 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061251","169151","169151","1497","61951",2018-07-02,"XX-500",1,2018-07-09 00:00:00,2018-07-09 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061252","168940","168940","240","61952",2017-10-26,"XX-500",1,2017-10-26 00:00:00,2017-10-26 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061253","169145","169145","527","61952",2018-06-17,"XX-500",1,2018-07-04 00:00:00,2018-07-04 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061255","169654","169654","240","61952",2019-09-08,"XX-500",1,2019-10-13 00:00:00,2019-10-13 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061257","169573","169573","240","61953",2019-06-11,"XX-500",1,2019-07-27 00:00:00,2019-07-27 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061259","169943","169943","240","61953",2020-02-19,"XX-500",1,2020-02-19 00:00:00,2020-02-19 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061260","169295","169295","1099","61954",2018-12-26,"XX-500",1,2019-03-11 00:00:00,2019-03-11 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061265","168906","168906","240","61956",2017-08-21,"XX-500",1,2017-08-21 00:00:00,2017-08-21 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"4061266","168917","168917","1099","61956",2017-09-06,"XX-500",1,2017-10-02 00:00:00,2017-10-02 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
