"ExitID","EnrollmentID","PersonalID","ExitDate","Destination","OtherDestination","HousingAssessment","SubsidyInformation","ProjectCompletionStatus","EarlyExitReason","ExchangeForSex","ExchangeForSexPastThreeMonths","CountOfExchangeForSex","AskedOrForcedToExchangeForSex","AskedOrForcedToExchangeForSexPastThreeMonths","WorkplaceViolenceThreats","WorkplacePromiseDifference","CoercedToContinueWork","LaborExploitPastThreeMonths","CounselingReceived","IndividualCounseling","FamilyCounseling","GroupCounseling","SessionCountAtExit","PostExitCounselingPlan","SessionsInPlan","DestinationSafeClient","DestinationSafeWorker","PosAdultConnections","PosPeerConnections","PosCommunityConnections","AftercareDate","AftercareProvided","EmailSocialMedia","Telephone","InPersonIndividual","InPersonGroup","CMExitReason","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"168731","168731","62491",2016-11-09,20,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2016-11-10 00:00:00,2016-11-10 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168732","168732","62001",2016-11-28,12,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2016-11-28 00:00:00,2016-11-28 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168734","168734","62146",2017-04-17,19,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-05-10 00:00:00,2017-05-10 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168735","168735","62515",2016-11-06,20,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2016-11-07 00:00:00,2016-11-07 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168736","168736","61963",2017-10-02,10,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-10-02 00:00:00,2017-10-02 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168737","168737","62516",2018-12-20,8,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2018-12-20 00:00:00,2018-12-20 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168741","168741","62193",2017-05-04,6,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-10-01 00:00:00,2017-10-01 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168742","168742","62547",2017-04-13,5,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-04-13 00:00:00,2017-04-13 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168743","168743","62150",2018-06-25,19,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2018-06-25 00:00:00,2018-06-25 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168746","168746","62491",2018-12-03,22,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2018-12-03 00:00:00,2018-12-03 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168746_21777","168746_21777","62492",2018-12-03,22,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2018-12-03 00:00:00,2018-12-03 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168746_21778","168746_21778","62493",2018-12-03,22,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2018-12-03 00:00:00,2018-12-03 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168747","168747","62151",2017-02-02,10,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-02-07 00:00:00,2017-02-07 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168748","168748","62128",2016-11-09,30,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2016-11-15 00:00:00,2016-11-15 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168749","168749","62148",2017-05-09,16,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-09-10 00:00:00,2017-09-10 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168750","168750","62014",2017-11-02,10,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-11-05 00:00:00,2017-11-05 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168751","168751","62515",2018-01-11,23,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2018-01-11 00:00:00,2018-01-11 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168752","168752","62153",2017-02-12,19,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-02-13 00:00:00,2017-02-13 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168753","168753","62128",2016-12-30,30,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-01-01 00:00:00,2017-01-01 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168754","168754","62097",2017-02-14,19,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-02-21 00:00:00,2017-02-21 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168756","168756","62157",2016-11-21,22,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2016-11-21 00:00:00,2016-11-21 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168757","168757","62553",2018-07-09,20,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2018-07-11 00:00:00,2018-07-11 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168758","168758","62226",2016-11-27,20,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2016-11-29 00:00:00,2016-11-29 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168760","168760","62066",2017-05-09,12,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-05-15 00:00:00,2017-05-15 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
"168761","168761","62539",2017-01-01,20,"",99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,2017-01-01 00:00:00,2017-01-01 00:00:00,"0",,"B6F49CC51E4BE01EE7447E9FCF0F6C6C"
